abuse_number,city_name,fac_name,fac_type,inv_comp_date,online_incident_date
SL057341,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 09/13/2005, 06/29/2005
CO04014,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 02/25/2004, 02/18/2004
SL046775D,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 03/12/2004, 01/16/2004
SL046776A,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 03/15/2004, 01/16/2004
SL036754A,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 04/28/2004, 12/22/2003
SL036740,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 02/19/2004, 12/15/2003
CO03076,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 12/18/2003, 12/11/2003
SL036704,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 03/02/2004, 11/17/2003
SL036457A,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 07/08/2003, 05/24/2003
SL036457B,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 07/08/2003, 05/24/2003
SL036377,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 05/19/2003, 03/19/2003
BC090483,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 03/18/2009, 01/16/2009
BC099790,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 01/28/2009, 12/26/2008
BC088122,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 08/04/2008, 07/03/2008
BC087120,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 04/09/2008, 03/11/2008
BC086650,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 02/26/2008, 01/20/2008
BC075809,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 10/24/2007, 10/10/2007
BC075440,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 09/27/2007, 08/18/2007
CO07095,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 09/13/2007, 08/16/2007
BC074928,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 07/03/2007, 04/07/2007
BC074265,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 09/26/2007, 02/27/2007
BC073722,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 02/27/2007, 01/23/2007
BC073771,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 03/21/2007, 01/21/2007
MR465A,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 12/08/2004, 05/25/2004
MR418A,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 01/21/2004, 01/04/2004
MR415,TROUTDALE,ALTERRA CLARE BRIDGE - TROUTDALE,RCF, 01/05/2004, 12/26/2003
MM087301B,MCMINNVILLE,ALTERRA CLARE BRIDGE OF MCMINNVILLE,RCF, 06/12/2008, 02/15/2008
MC043711,MCMINNVILLE,ALTERRA VILLAS MCMINNVILLE,RCF, 09/10/2004, 07/25/2004
HB087324,FOREST GROVE,ALTERRA WYNWOOD OF FOREST GROVE,RCF, 05/21/2008, 04/05/2008
HB090313,FOREST GROVE,ALTERRA WYNWOOD OF FOREST GROVE,RCF, 04/15/2009, 12/09/2007
HB075408,FOREST GROVE,ALTERRA WYNWOOD OF FOREST GROVE,RCF, 09/11/2007, 08/24/2007
HB075050,FOREST GROVE,ALTERRA WYNWOOD OF FOREST GROVE,RCF, 07/25/2007, 07/12/2007
HB062936A,FOREST GROVE,ALTERRA WYNWOOD OF FOREST GROVE,RCF, 01/03/2007, 10/24/2006
HB153669,FOREST GROVE,ALTERRA WYNWOOD OF FOREST GROVE,RCF, 09/23/2005, 06/22/2005
HB143298,FOREST GROVE,ALTERRA WYNWOOD OF FOREST GROVE,RCF, 05/19/2004, 01/27/2004
HB132083,FOREST GROVE,ALTERRA WYNWOOD OF FOREST GROVE,RCF, 08/09/2006, 08/24/2003
CO07135,MCMINNVILLE,ALTERRA WYNWOOD OF MCMINNVILLE,RCF, 10/11/2007, 09/20/2007
MC033678B,MCMINNVILLE,ALTERRA WYNWOOD OF MCMINNVILLE,RCF, 11/14/2003, 07/21/2003
CK030256,TUALATIN,ALTERRA WYNWOOD OF MERIDIAN PARK,RCF, 08/26/2003, 05/30/2003
CK030051,TUALATIN,ALTERRA WYNWOOD OF MERIDIAN PARK,RCF, 03/18/2003, 02/10/2003
BC089129,GRESHAM,ALTERRA WYNWOOD OF MT. HOOD,RCF, 11/13/2008, 10/20/2008
MR558A,GRESHAM,ALTERRA WYNWOOD OF MT. HOOD,RCF, 12/02/2005, 09/20/2005
MR428,GRESHAM,ALTERRA WYNWOOD OF MT. HOOD,RCF, 03/23/2004, 02/14/2004
MR359,GRESHAM,ALTERRA WYNWOOD OF MT. HOOD,RCF, 10/17/2003, 06/21/2003
MF53106,MEDFORD,ALTERRA WYNWOOD OF ROGUE VALLEY,RCF, 09/26/2005, 06/29/2005
MF42770,MEDFORD,ALTERRA WYNWOOD OF ROGUE VALLEY,RCF, 09/07/2004, 04/11/2004
RD129068,BEND,ALZHEIMER'S CARE AT ASPEN RIDGE,RCF, 02/27/2012, 12/30/2011
RD087312A,BEND,ALZHEIMER'S CARE AT ASPEN RIDGE,RCF, 05/05/2008, 03/24/2008
BO087781A,BEND,ALZHEIMER'S CARE AT ASPEN RIDGE,RCF, 06/19/2008, 01/11/2008
BO076232A,BEND,ALZHEIMER'S CARE AT ASPEN RIDGE,RCF, 12/13/2007, 09/26/2007
BO076232B,BEND,ALZHEIMER'S CARE AT ASPEN RIDGE,RCF, 12/13/2007, 09/26/2007
CO07016,BEND,ALZHEIMER'S CARE AT ASPEN RIDGE,RCF, 02/07/2007, 01/31/2007
RD52335,BEND,ALZHEIMER'S CARE AT ASPEN RIDGE,RCF, 09/12/2005, 07/17/2005
CO03055,BEND,AMERICARE - CONNERS,RCF, 07/21/2003, 07/16/2003
RD32057A,BEND,AMERICARE - CONNERS,RCF, 08/08/2003, 07/01/2003
RD32057B,BEND,AMERICARE - CONNERS,RCF, 08/08/2003, 07/01/2003
RD32030,BEND,AMERICARE - CONNERS,RCF, 06/02/2003, 04/09/2003
CO03046,ROSEBURG,AMERICARE - DOUGLAS,RCF, 08/18/2003, 08/11/2003
RS131832B,ROSEBURG,AMERICARE - DOUGLAS,RCF, 12/17/2003, 08/07/2003
RS131797G,ROSEBURG,AMERICARE - DOUGLAS,RCF, 08/25/2003, 06/10/2003
CO03020,ROSEBURG,AMERICARE - DOUGLAS,RCF, 04/14/2003, 04/03/2003
RS131750B,ROSEBURG,AMERICARE - DOUGLAS,RCF, 04/25/2003, 03/23/2003
RS131750A,ROSEBURG,AMERICARE - DOUGLAS,RCF, 04/25/2003, 03/23/2003
CO03047,GRANTS PASS,AMERICARE - GOLD COURT,RCF, 08/25/2003, 08/19/2003
BD31156A,PRINEVILLE,AMERICARE - MEADOW LAKES,RCF, 12/11/2003, 09/06/2003
BD31156B,PRINEVILLE,AMERICARE - MEADOW LAKES,RCF, 12/11/2003, 09/06/2003
RS131745,ROSEBURG,AMERICARE - RAMP,RCF, 05/07/2003, 03/18/2003
JG145634,LA GRANDE,ANGELINE SENIOR LIVING,RCF, 02/17/2014, 12/25/2013
JG129709A,LA GRANDE,ANGELINE SENIOR LIVING,RCF, 09/26/2012, 12/19/2011
JG129713,LA GRANDE,ANGELINE SENIOR LIVING,RCF, 06/05/2012, 12/17/2011
MS116872,MEDFORD,ANNA MARIA CREEKSIDE,RCF, 07/25/2011, 04/29/2011
CO14136,EUGENE,APPLEGATE CARE CENTER,RCF, 06/04/2014, 06/04/2014
ES145835,EUGENE,APPLEGATE CARE CENTER,RCF, 07/03/2014, 01/21/2014
ES133865,EUGENE,APPLEGATE CARE CENTER,RCF, 06/27/2014, 05/01/2013
ES121254,EUGENE,APPLEGATE CARE CENTER,RCF, 01/08/2013, 10/04/2012
ES105739,EUGENE,APPLEGATE CARE CENTER,RCF, 06/28/2011, 11/25/2010
ES104759,EUGENE,APPLEGATE CARE CENTER,RCF, 04/27/2011, 07/06/2010
ES086944A,EUGENE,APPLEGATE CARE CENTER,RCF, 03/04/2008, 02/20/2008
ES086944B,EUGENE,APPLEGATE CARE CENTER,RCF, 03/04/2008, 02/20/2008
ES087010,EUGENE,APPLEGATE CARE CENTER,RCF, 03/25/2008, 02/18/2008
GP135021,GRANTS PASS,APPLEGATE HOUSE OF GRANTS PASS,RCF, 03/03/2014, 11/08/2013
GP165361,GRANTS PASS,ARBOR HOUSE OF GRANTS PASS,RCF, 07/27/2016, 04/05/2016
GP150002,GRANTS PASS,ARBOR HOUSE OF GRANTS PASS,RCF, 05/12/2015, 01/22/2015
GP103874,GRANTS PASS,ARBOR HOUSE OF GRANTS PASS,RCF, 08/26/2010, 03/30/2010
GP074900A,GRANTS PASS,ARBOR HOUSE OF GRANTS PASS,RCF, 12/14/2007, 06/21/2007
MM167249,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 10/13/2016, 08/20/2016
MM145712,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 02/18/2014, 12/26/2013
MM135252,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 01/22/2014, 11/26/2013
MM134819,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 12/03/2013, 10/20/2013
MM134813,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 01/15/2014, 10/20/2013
MM134679,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 11/22/2013, 10/04/2013
MM134590,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 11/22/2013, 09/29/2013
MM134327,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 10/10/2013, 09/03/2013
MM133822,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 08/16/2013, 07/10/2013
MM133356,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 08/01/2013, 05/30/2013
MM133356,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 08/01/2013, 05/30/2013
CO12127,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 11/05/2012, 10/30/2012
MM129148B,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 04/04/2012, 02/02/2012
MM129148A,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 04/04/2012, 02/02/2012
MM128990B,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 05/16/2012, 01/05/2012
MM118662,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 02/08/2012, 11/29/2011
MM118361,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 01/19/2012, 10/19/2011
MM118360,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 01/13/2012, 10/05/2011
MM118280,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 12/28/2011, 10/02/2011
MM118107B,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 12/07/2011, 09/12/2011
MM118107A,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 12/07/2011, 09/12/2011
MM117929,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 10/19/2011, 08/31/2011
MM117930A,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 10/22/2011, 08/23/2011
MM117928,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 10/10/2011, 08/22/2011
MM117816,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 09/28/2011, 08/21/2011
MM117770,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 09/26/2011, 08/14/2011
MM117782,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 09/26/2011, 08/08/2011
CO11094,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 08/03/2011, 08/03/2011
MM117873A,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 10/19/2011, 07/27/2011
MM117873B,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 10/19/2011, 07/27/2011
MM117608B,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 09/26/2011, 07/26/2011
MM117608A,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 09/26/2011, 07/26/2011
MM117872,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 10/10/2011, 07/18/2011
MM117609,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 09/26/2011, 07/17/2011
MM117395,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 08/30/2011, 06/20/2011
MM116681A,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 06/28/2011, 03/01/2011
MM116681B,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 06/28/2011, 03/01/2011
MM105893,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 03/04/2011, 12/09/2010
MM105419,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 12/20/2010, 10/01/2010
MM104821,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 09/29/2010, 07/13/2010
MM104872A,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 10/21/2010, 07/08/2010
MM104547,NEWBERG,ARBOR OAKS TERRACE MEMORY CARE,RCF, 08/13/2010, 06/10/2010
MS134805,MEDFORD,ARBOR PLACE MEMORY CARE,RCF, 07/18/2014, 10/21/2013
MS132466,MEDFORD,ARBOR PLACE MEMORY CARE,RCF, 04/09/2013, 02/21/2013
MS118699A,MEDFORD,ARBOR PLACE MEMORY CARE,RCF, 01/05/2012, 11/14/2011
MS104981,MEDFORD,ARBOR PLACE MEMORY CARE,RCF, 11/03/2010, 08/09/2010
MS099787A,MEDFORD,ARBOR PLACE MEMORY CARE,RCF, 03/09/2009, 01/05/2009
MS088418,MEDFORD,ARBOR PLACE MEMORY CARE,RCF, 09/24/2008, 05/06/2008
MS061911,MEDFORD,ARBOR PLACE SENIOR COMMUNITY,RCF, 08/04/2006, 04/20/2006
MF53239A,MEDFORD,ARBOR PLACE SENIOR COMMUNITY,RCF, 12/01/2005, 10/06/2005
OT129999,ONTARIO,ASHLEY MANOR - ALAMEDA,RCF, 07/18/2012, 04/05/2012
OT116194A,ONTARIO,ASHLEY MANOR - ALAMEDA,RCF, 08/10/2011, 01/08/2011
NB117493,ONTARIO,ASHLEY MANOR - ALAMEDA,RCF, 08/16/2011, 08/30/2010
OT091578A,ONTARIO,ASHLEY MANOR - ALAMEDA,RCF, 07/31/2009, 05/27/2009
OT091578B,ONTARIO,ASHLEY MANOR - ALAMEDA,RCF, 07/31/2009, 05/27/2009
OT091642B,ONTARIO,ASHLEY MANOR - ALAMEDA,RCF, 07/31/2009, 05/26/2009
OT091258A,ONTARIO,ASHLEY MANOR - ALAMEDA,RCF, 07/31/2009, 04/26/2009
OT091764,ONTARIO,ASHLEY MANOR - ALAMEDA,RCF, 08/13/2009, 03/10/2009
OT091704A,ONTARIO,ASHLEY MANOR - ALAMEDA,RCF, 07/31/2009, 12/21/2008
OT31734,ONTARIO,ASHLEY MANOR - ALAMEDA,RCF, 01/02/2004, 11/08/2003
GP116500,GRANTS PASS,ASHLEY MANOR - ANIQUE,RCF, 10/24/2011, 03/09/2011
GP116500,GRANTS PASS,ASHLEY MANOR - ANIQUE,RCF, 10/24/2011, 03/09/2011
GP061478,GRANTS PASS,ASHLEY MANOR - ANIQUE,RCF, 06/14/2006, 04/05/2006
MS151627,MEDFORD,ASHLEY MANOR - ARROWHEAD,RCF, 12/17/2015, 06/18/2015
PT167024,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 08/25/2016, 06/01/2016
PT166817,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 08/12/2016, 03/09/2016
PT153073,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 11/02/2015, 08/25/2015
HM152560,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 09/11/2015, 07/20/2015
PT152363,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 08/28/2015, 07/14/2015
PT150893,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 05/05/2015, 03/26/2015
PT159917,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 02/06/2015, 01/07/2015
PT146072,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 03/10/2014, 01/23/2014
PT133249,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 07/22/2013, 04/28/2013
PT133249,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 07/22/2013, 04/28/2013
PT118441,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 12/15/2011, 11/09/2011
PT116725,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 05/04/2011, 03/07/2011
PT116605,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 05/03/2011, 03/05/2011
PT116438,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 03/31/2011, 02/10/2011
PT089442,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 03/16/2009, 11/18/2008
PT088834,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 02/02/2009, 07/03/2008
PT076045,PENDLETON,ASHLEY MANOR - ATHENS,RCF, 12/10/2007, 08/17/2007
MS133183,MEDFORD,ASHLEY MANOR - BROOKHURST,RCF, 06/18/2013, 04/07/2013
MS103546,MEDFORD,ASHLEY MANOR - BROOKHURST,RCF, 04/08/2010, 02/14/2010
MS090574,MEDFORD,ASHLEY MANOR - BROOKHURST,RCF, 05/01/2009, 03/23/2009
BO153867,BEND,ASHLEY MANOR - CONNERS,RCF, 12/29/2015, 10/03/2015
RD152866,BEND,ASHLEY MANOR - CONNERS,RCF, 10/20/2015, 08/28/2015
BO151864,BEND,ASHLEY MANOR - CONNERS,RCF, 11/02/2015, 06/19/2015
BO146533,BEND,ASHLEY MANOR - CONNERS,RCF, 06/11/2014, 03/10/2014
RD118292,BEND,ASHLEY MANOR - CONNERS,RCF, 11/30/2011, 09/22/2011
RD117775A,BEND,ASHLEY MANOR - CONNERS,RCF, 10/03/2011, 07/11/2011
CO11034,BEND,ASHLEY MANOR - CONNERS,RCF, 02/02/2011, 01/27/2011
RD092244,BEND,ASHLEY MANOR - CONNERS,RCF, 10/13/2009, 08/08/2009
RD091281,BEND,ASHLEY MANOR - CONNERS,RCF, 06/24/2009, 05/01/2009
BO090688,BEND,ASHLEY MANOR - CONNERS,RCF, 04/10/2009, 01/11/2009
RD091413,BEND,ASHLEY MANOR - CONNERS,RCF, 07/06/2009, 05/16/2008
BO062783B,BEND,ASHLEY MANOR - CONNERS,RCF, 11/30/2006, 09/21/2006
GP151485A,GRANTS PASS,ASHLEY MANOR - HEIDI LANE,RCF, 12/18/2015, 06/05/2015
GP151485A,GRANTS PASS,ASHLEY MANOR - HEIDI LANE,RCF, 12/18/2015, 06/05/2015
GP151485B,GRANTS PASS,ASHLEY MANOR - HEIDI LANE,RCF, 12/18/2015, 06/05/2015
GP151485B,GRANTS PASS,ASHLEY MANOR - HEIDI LANE,RCF, 12/18/2015, 06/05/2015
GP151485C,GRANTS PASS,ASHLEY MANOR - HEIDI LANE,RCF, 12/18/2015, 06/05/2015
GP151485C,GRANTS PASS,ASHLEY MANOR - HEIDI LANE,RCF, 12/18/2015, 06/05/2015
GP147124,GRANTS PASS,ASHLEY MANOR - HEIDI LANE,RCF, 08/27/2014, 05/07/2014
GP133413,GRANTS PASS,ASHLEY MANOR - HEIDI LANE,RCF, 10/08/2013, 06/04/2013
KF164185,KLAMATH FALLS,ASHLEY MANOR - HOMEDALE,RCF, 04/20/2016, 01/05/2016
KF152932,KLAMATH FALLS,ASHLEY MANOR - HOMEDALE,RCF, 01/15/2016, 09/25/2015
KF153100,KLAMATH FALLS,ASHLEY MANOR - HOMEDALE,RCF, 01/15/2016, 09/25/2015
KF152971,KLAMATH FALLS,ASHLEY MANOR - HOMEDALE,RCF, 12/18/2015, 09/23/2015
KF152190,KLAMATH FALLS,ASHLEY MANOR - HOMEDALE,RCF, 10/27/2015, 07/23/2015
KF151753,KLAMATH FALLS,ASHLEY MANOR - HOMEDALE,RCF, 09/18/2015, 06/26/2015
KF152222,KLAMATH FALLS,ASHLEY MANOR - HOMEDALE,RCF, 10/26/2015, 06/25/2015
KF151375,KLAMATH FALLS,ASHLEY MANOR - HOMEDALE,RCF, 06/26/2015, 05/23/2015
KF150280,KLAMATH FALLS,ASHLEY MANOR - HOMEDALE,RCF, 05/19/2015, 02/15/2015
