abuse_number,city_name,fac_type,inv_comp_date,online_fac_name,online_incident_date
SL046776A,SALEM,RCF, 03/15/2004,ALTERRA CLARE BRIDGE - SALEM, 01/16/2004
SL036754A,SALEM,RCF, 04/28/2004,ALTERRA CLARE BRIDGE - SALEM, 12/22/2003
SL036740,SALEM,RCF, 02/19/2004,ALTERRA CLARE BRIDGE - SALEM, 12/15/2003
CO03076,SALEM,RCF, 12/18/2003,ALTERRA CLARE BRIDGE - SALEM, 12/11/2003
SL036704,SALEM,RCF, 03/02/2004,ALTERRA CLARE BRIDGE - SALEM, 11/17/2003
SL036457A,SALEM,RCF, 07/08/2003,ALTERRA CLARE BRIDGE - SALEM, 05/24/2003
SL036457B,SALEM,RCF, 07/08/2003,ALTERRA CLARE BRIDGE - SALEM, 05/24/2003
SL036377,SALEM,RCF, 05/19/2003,ALTERRA CLARE BRIDGE - SALEM, 03/19/2003
BC090483,TROUTDALE,RCF, 03/18/2009,ALTERRA CLARE BRIDGE - TROUTDALE, 01/16/2009
BC099790,TROUTDALE,RCF, 01/28/2009,ALTERRA CLARE BRIDGE - TROUTDALE, 12/26/2008
BC088122,TROUTDALE,RCF, 08/04/2008,ALTERRA CLARE BRIDGE - TROUTDALE, 07/03/2008
BC087120,TROUTDALE,RCF, 04/09/2008,ALTERRA CLARE BRIDGE - TROUTDALE, 03/11/2008
BC086650,TROUTDALE,RCF, 02/26/2008,ALTERRA CLARE BRIDGE - TROUTDALE, 01/20/2008
BC075809,TROUTDALE,RCF, 10/24/2007,ALTERRA CLARE BRIDGE - TROUTDALE, 10/10/2007
BC075440,TROUTDALE,RCF, 09/27/2007,ALTERRA CLARE BRIDGE - TROUTDALE, 08/18/2007
CO07095,TROUTDALE,RCF, 09/13/2007,ALTERRA CLARE BRIDGE - TROUTDALE, 08/16/2007
BC074928,TROUTDALE,RCF, 07/03/2007,ALTERRA CLARE BRIDGE - TROUTDALE, 04/07/2007
BC074265,TROUTDALE,RCF, 09/26/2007,ALTERRA CLARE BRIDGE - TROUTDALE, 02/27/2007
BC073722,TROUTDALE,RCF, 02/27/2007,ALTERRA CLARE BRIDGE - TROUTDALE, 01/23/2007
BC073771,TROUTDALE,RCF, 03/21/2007,ALTERRA CLARE BRIDGE - TROUTDALE, 01/21/2007
MR465A,TROUTDALE,RCF, 12/08/2004,ALTERRA CLARE BRIDGE - TROUTDALE, 05/25/2004
MR418A,TROUTDALE,RCF, 01/21/2004,ALTERRA CLARE BRIDGE - TROUTDALE, 01/04/2004
MR415,TROUTDALE,RCF, 01/05/2004,ALTERRA CLARE BRIDGE - TROUTDALE, 12/26/2003
MM087301B,MCMINNVILLE,RCF, 06/12/2008,ALTERRA CLARE BRIDGE OF MCMINNVILLE, 02/15/2008
MC043711,MCMINNVILLE,RCF, 09/10/2004,ALTERRA VILLAS MCMINNVILLE, 07/25/2004
HB087324,FOREST GROVE,RCF, 05/21/2008,ALTERRA WYNWOOD OF FOREST GROVE, 04/05/2008
HB090313,FOREST GROVE,RCF, 04/15/2009,ALTERRA WYNWOOD OF FOREST GROVE, 12/09/2007
HB075408,FOREST GROVE,RCF, 09/11/2007,ALTERRA WYNWOOD OF FOREST GROVE, 08/24/2007
HB075050,FOREST GROVE,RCF, 07/25/2007,ALTERRA WYNWOOD OF FOREST GROVE, 07/12/2007
HB062936A,FOREST GROVE,RCF, 01/03/2007,ALTERRA WYNWOOD OF FOREST GROVE, 10/24/2006
HB153669,FOREST GROVE,RCF, 09/23/2005,ALTERRA WYNWOOD OF FOREST GROVE, 06/22/2005
HB143298,FOREST GROVE,RCF, 05/19/2004,ALTERRA WYNWOOD OF FOREST GROVE, 01/27/2004
HB132083,FOREST GROVE,RCF, 08/09/2006,ALTERRA WYNWOOD OF FOREST GROVE, 08/24/2003
CO07135,MCMINNVILLE,RCF, 10/11/2007,ALTERRA WYNWOOD OF MCMINNVILLE, 09/20/2007
MC033678B,MCMINNVILLE,RCF, 11/14/2003,ALTERRA WYNWOOD OF MCMINNVILLE, 07/21/2003
CK030256,TUALATIN,RCF, 08/26/2003,ALTERRA WYNWOOD OF MERIDIAN PARK, 05/30/2003
CK030051,TUALATIN,RCF, 03/18/2003,ALTERRA WYNWOOD OF MERIDIAN PARK, 02/10/2003
BC089129,GRESHAM,RCF, 11/13/2008,ALTERRA WYNWOOD OF MT. HOOD, 10/20/2008
MR558A,GRESHAM,RCF, 12/02/2005,ALTERRA WYNWOOD OF MT. HOOD, 09/20/2005
MR428,GRESHAM,RCF, 03/23/2004,ALTERRA WYNWOOD OF MT. HOOD, 02/14/2004
MR359,GRESHAM,RCF, 10/17/2003,ALTERRA WYNWOOD OF MT. HOOD, 06/21/2003
MF53106,MEDFORD,RCF, 09/26/2005,ALTERRA WYNWOOD OF ROGUE VALLEY, 06/29/2005
MF42770,MEDFORD,RCF, 09/07/2004,ALTERRA WYNWOOD OF ROGUE VALLEY, 04/11/2004
RD129068,BEND,RCF, 02/27/2012,ALZHEIMER'S CARE AT ASPEN RIDGE, 12/30/2011
RD087312A,BEND,RCF, 05/05/2008,ALZHEIMER'S CARE AT ASPEN RIDGE, 03/24/2008
BO087781A,BEND,RCF, 06/19/2008,ALZHEIMER'S CARE AT ASPEN RIDGE, 01/11/2008
BO076232A,BEND,RCF, 12/13/2007,ALZHEIMER'S CARE AT ASPEN RIDGE, 09/26/2007
BO076232B,BEND,RCF, 12/13/2007,ALZHEIMER'S CARE AT ASPEN RIDGE, 09/26/2007
CO07016,BEND,RCF, 02/07/2007,ALZHEIMER'S CARE AT ASPEN RIDGE, 01/31/2007
RD52335,BEND,RCF, 09/12/2005,ALZHEIMER'S CARE AT ASPEN RIDGE, 07/17/2005
CO03055,BEND,RCF, 07/21/2003,AMERICARE - CONNERS, 07/16/2003
RD32057A,BEND,RCF, 08/08/2003,AMERICARE - CONNERS, 07/01/2003
RD32057B,BEND,RCF, 08/08/2003,AMERICARE - CONNERS, 07/01/2003
RD32030,BEND,RCF, 06/02/2003,AMERICARE - CONNERS, 04/09/2003
CO03046,ROSEBURG,RCF, 08/18/2003,AMERICARE - DOUGLAS, 08/11/2003
RS131832B,ROSEBURG,RCF, 12/17/2003,AMERICARE - DOUGLAS, 08/07/2003
RS131797G,ROSEBURG,RCF, 08/25/2003,AMERICARE - DOUGLAS, 06/10/2003
CO03020,ROSEBURG,RCF, 04/14/2003,AMERICARE - DOUGLAS, 04/03/2003
RS131750B,ROSEBURG,RCF, 04/25/2003,AMERICARE - DOUGLAS, 03/23/2003
RS131750A,ROSEBURG,RCF, 04/25/2003,AMERICARE - DOUGLAS, 03/23/2003
CO03047,GRANTS PASS,RCF, 08/25/2003,AMERICARE - GOLD COURT, 08/19/2003
BD31156A,PRINEVILLE,RCF, 12/11/2003,AMERICARE - MEADOW LAKES, 09/06/2003
BD31156B,PRINEVILLE,RCF, 12/11/2003,AMERICARE - MEADOW LAKES, 09/06/2003
RS131745,ROSEBURG,RCF, 05/07/2003,AMERICARE - RAMP, 03/18/2003
JG145634,LA GRANDE,RCF, 02/17/2014,ANGELINE SENIOR LIVING, 12/25/2013
JG129709A,LA GRANDE,RCF, 09/26/2012,ANGELINE SENIOR LIVING, 12/19/2011
JG129713,LA GRANDE,RCF, 06/05/2012,ANGELINE SENIOR LIVING, 12/17/2011
MS116872,MEDFORD,RCF, 07/25/2011,ANNA MARIA CREEKSIDE, 04/29/2011
CO14136,EUGENE,RCF, 06/04/2014,APPLEGATE CARE CENTER, 06/04/2014
ES145835,EUGENE,RCF, 07/03/2014,APPLEGATE CARE CENTER, 01/21/2014
ES133865,EUGENE,RCF, 06/27/2014,APPLEGATE CARE CENTER, 05/01/2013
ES121254,EUGENE,RCF, 01/08/2013,APPLEGATE CARE CENTER, 10/04/2012
ES105739,EUGENE,RCF, 06/28/2011,APPLEGATE CARE CENTER, 11/25/2010
ES104759,EUGENE,RCF, 04/27/2011,APPLEGATE CARE CENTER, 07/06/2010
ES086944A,EUGENE,RCF, 03/04/2008,APPLEGATE CARE CENTER, 02/20/2008
ES086944B,EUGENE,RCF, 03/04/2008,APPLEGATE CARE CENTER, 02/20/2008
ES087010,EUGENE,RCF, 03/25/2008,APPLEGATE CARE CENTER, 02/18/2008
GP135021,GRANTS PASS,RCF, 03/03/2014,APPLEGATE HOUSE OF GRANTS PASS, 11/08/2013
GP165361,GRANTS PASS,RCF, 07/27/2016,ARBOR HOUSE OF GRANTS PASS, 04/05/2016
GP150002,GRANTS PASS,RCF, 05/12/2015,ARBOR HOUSE OF GRANTS PASS, 01/22/2015
GP103874,GRANTS PASS,RCF, 08/26/2010,ARBOR HOUSE OF GRANTS PASS, 03/30/2010
GP074900A,GRANTS PASS,RCF, 12/14/2007,ARBOR HOUSE OF GRANTS PASS, 06/21/2007
MM167249,NEWBERG,RCF, 10/13/2016,ARBOR OAKS TERRACE MEMORY CARE, 08/20/2016
MM145712,NEWBERG,RCF, 02/18/2014,ARBOR OAKS TERRACE MEMORY CARE, 12/26/2013
MM135252,NEWBERG,RCF, 01/22/2014,ARBOR OAKS TERRACE MEMORY CARE, 11/26/2013
MM134819,NEWBERG,RCF, 12/03/2013,ARBOR OAKS TERRACE MEMORY CARE, 10/20/2013
MM134813,NEWBERG,RCF, 01/15/2014,ARBOR OAKS TERRACE MEMORY CARE, 10/20/2013
MM134679,NEWBERG,RCF, 11/22/2013,ARBOR OAKS TERRACE MEMORY CARE, 10/04/2013
MM134590,NEWBERG,RCF, 11/22/2013,ARBOR OAKS TERRACE MEMORY CARE, 09/29/2013
MM134327,NEWBERG,RCF, 10/10/2013,ARBOR OAKS TERRACE MEMORY CARE, 09/03/2013
MM133822,NEWBERG,RCF, 08/16/2013,ARBOR OAKS TERRACE MEMORY CARE, 07/10/2013
MM133356,NEWBERG,RCF, 08/01/2013,ARBOR OAKS TERRACE MEMORY CARE, 05/30/2013
MM133356,NEWBERG,RCF, 08/01/2013,ARBOR OAKS TERRACE MEMORY CARE, 05/30/2013
CO12127,NEWBERG,RCF, 11/05/2012,ARBOR OAKS TERRACE MEMORY CARE, 10/30/2012
MM129148B,NEWBERG,RCF, 04/04/2012,ARBOR OAKS TERRACE MEMORY CARE, 02/02/2012
MM129148A,NEWBERG,RCF, 04/04/2012,ARBOR OAKS TERRACE MEMORY CARE, 02/02/2012
MM128990B,NEWBERG,RCF, 05/16/2012,ARBOR OAKS TERRACE MEMORY CARE, 01/05/2012
MM118662,NEWBERG,RCF, 02/08/2012,ARBOR OAKS TERRACE MEMORY CARE, 11/29/2011
MM118361,NEWBERG,RCF, 01/19/2012,ARBOR OAKS TERRACE MEMORY CARE, 10/19/2011
MM118360,NEWBERG,RCF, 01/13/2012,ARBOR OAKS TERRACE MEMORY CARE, 10/05/2011
MM118280,NEWBERG,RCF, 12/28/2011,ARBOR OAKS TERRACE MEMORY CARE, 10/02/2011
MM118107B,NEWBERG,RCF, 12/07/2011,ARBOR OAKS TERRACE MEMORY CARE, 09/12/2011
MM118107A,NEWBERG,RCF, 12/07/2011,ARBOR OAKS TERRACE MEMORY CARE, 09/12/2011
MM117929,NEWBERG,RCF, 10/19/2011,ARBOR OAKS TERRACE MEMORY CARE, 08/31/2011
MM117930A,NEWBERG,RCF, 10/22/2011,ARBOR OAKS TERRACE MEMORY CARE, 08/23/2011
MM117928,NEWBERG,RCF, 10/10/2011,ARBOR OAKS TERRACE MEMORY CARE, 08/22/2011
MM117816,NEWBERG,RCF, 09/28/2011,ARBOR OAKS TERRACE MEMORY CARE, 08/21/2011
MM117770,NEWBERG,RCF, 09/26/2011,ARBOR OAKS TERRACE MEMORY CARE, 08/14/2011
MM117782,NEWBERG,RCF, 09/26/2011,ARBOR OAKS TERRACE MEMORY CARE, 08/08/2011
CO11094,NEWBERG,RCF, 08/03/2011,ARBOR OAKS TERRACE MEMORY CARE, 08/03/2011
MM117873A,NEWBERG,RCF, 10/19/2011,ARBOR OAKS TERRACE MEMORY CARE, 07/27/2011
MM117873B,NEWBERG,RCF, 10/19/2011,ARBOR OAKS TERRACE MEMORY CARE, 07/27/2011
MM117608B,NEWBERG,RCF, 09/26/2011,ARBOR OAKS TERRACE MEMORY CARE, 07/26/2011
MM117608A,NEWBERG,RCF, 09/26/2011,ARBOR OAKS TERRACE MEMORY CARE, 07/26/2011
MM117872,NEWBERG,RCF, 10/10/2011,ARBOR OAKS TERRACE MEMORY CARE, 07/18/2011
MM117609,NEWBERG,RCF, 09/26/2011,ARBOR OAKS TERRACE MEMORY CARE, 07/17/2011
MM117395,NEWBERG,RCF, 08/30/2011,ARBOR OAKS TERRACE MEMORY CARE, 06/20/2011
MM116681A,NEWBERG,RCF, 06/28/2011,ARBOR OAKS TERRACE MEMORY CARE, 03/01/2011
MM116681B,NEWBERG,RCF, 06/28/2011,ARBOR OAKS TERRACE MEMORY CARE, 03/01/2011
MM105893,NEWBERG,RCF, 03/04/2011,ARBOR OAKS TERRACE MEMORY CARE, 12/09/2010
MM105419,NEWBERG,RCF, 12/20/2010,ARBOR OAKS TERRACE MEMORY CARE, 10/01/2010
MM104821,NEWBERG,RCF, 09/29/2010,ARBOR OAKS TERRACE MEMORY CARE, 07/13/2010
MM104872A,NEWBERG,RCF, 10/21/2010,ARBOR OAKS TERRACE MEMORY CARE, 07/08/2010
MM104547,NEWBERG,RCF, 08/13/2010,ARBOR OAKS TERRACE MEMORY CARE, 06/10/2010
MS134805,MEDFORD,RCF, 07/18/2014,ARBOR PLACE MEMORY CARE, 10/21/2013
MS132466,MEDFORD,RCF, 04/09/2013,ARBOR PLACE MEMORY CARE, 02/21/2013
MS118699A,MEDFORD,RCF, 01/05/2012,ARBOR PLACE MEMORY CARE, 11/14/2011
MS104981,MEDFORD,RCF, 11/03/2010,ARBOR PLACE MEMORY CARE, 08/09/2010
MS099787A,MEDFORD,RCF, 03/09/2009,ARBOR PLACE MEMORY CARE, 01/05/2009
MS088418,MEDFORD,RCF, 09/24/2008,ARBOR PLACE MEMORY CARE, 05/06/2008
MS061911,MEDFORD,RCF, 08/04/2006,ARBOR PLACE SENIOR COMMUNITY, 04/20/2006
MF53239A,MEDFORD,RCF, 12/01/2005,ARBOR PLACE SENIOR COMMUNITY, 10/06/2005
OT129999,ONTARIO,RCF, 07/18/2012,ASHLEY MANOR - ALAMEDA, 04/05/2012
OT116194A,ONTARIO,RCF, 08/10/2011,ASHLEY MANOR - ALAMEDA, 01/08/2011
NB117493,ONTARIO,RCF, 08/16/2011,ASHLEY MANOR - ALAMEDA, 08/30/2010
OT091578A,ONTARIO,RCF, 07/31/2009,ASHLEY MANOR - ALAMEDA, 05/27/2009
OT091578B,ONTARIO,RCF, 07/31/2009,ASHLEY MANOR - ALAMEDA, 05/27/2009
OT091642B,ONTARIO,RCF, 07/31/2009,ASHLEY MANOR - ALAMEDA, 05/26/2009
OT091258A,ONTARIO,RCF, 07/31/2009,ASHLEY MANOR - ALAMEDA, 04/26/2009
OT091764,ONTARIO,RCF, 08/13/2009,ASHLEY MANOR - ALAMEDA, 03/10/2009
OT091704A,ONTARIO,RCF, 07/31/2009,ASHLEY MANOR - ALAMEDA, 12/21/2008
OT31734,ONTARIO,RCF, 01/02/2004,ASHLEY MANOR - ALAMEDA, 11/08/2003
GP116500,GRANTS PASS,RCF, 10/24/2011,ASHLEY MANOR - ANIQUE, 03/09/2011
GP116500,GRANTS PASS,RCF, 10/24/2011,ASHLEY MANOR - ANIQUE, 03/09/2011
GP061478,GRANTS PASS,RCF, 06/14/2006,ASHLEY MANOR - ANIQUE, 04/05/2006
MS151627,MEDFORD,RCF, 12/17/2015,ASHLEY MANOR - ARROWHEAD, 06/18/2015
PT167024,PENDLETON,RCF, 08/25/2016,ASHLEY MANOR - ATHENS, 06/01/2016
PT166817,PENDLETON,RCF, 08/12/2016,ASHLEY MANOR - ATHENS, 03/09/2016
PT153073,PENDLETON,RCF, 11/02/2015,ASHLEY MANOR - ATHENS, 08/25/2015
HM152560,PENDLETON,RCF, 09/11/2015,ASHLEY MANOR - ATHENS, 07/20/2015
PT152363,PENDLETON,RCF, 08/28/2015,ASHLEY MANOR - ATHENS, 07/14/2015
PT150893,PENDLETON,RCF, 05/05/2015,ASHLEY MANOR - ATHENS, 03/26/2015
PT159917,PENDLETON,RCF, 02/06/2015,ASHLEY MANOR - ATHENS, 01/07/2015
PT146072,PENDLETON,RCF, 03/10/2014,ASHLEY MANOR - ATHENS, 01/23/2014
PT133249,PENDLETON,RCF, 07/22/2013,ASHLEY MANOR - ATHENS, 04/28/2013
PT133249,PENDLETON,RCF, 07/22/2013,ASHLEY MANOR - ATHENS, 04/28/2013
PT118441,PENDLETON,RCF, 12/15/2011,ASHLEY MANOR - ATHENS, 11/09/2011
PT116725,PENDLETON,RCF, 05/04/2011,ASHLEY MANOR - ATHENS, 03/07/2011
PT116605,PENDLETON,RCF, 05/03/2011,ASHLEY MANOR - ATHENS, 03/05/2011
PT116438,PENDLETON,RCF, 03/31/2011,ASHLEY MANOR - ATHENS, 02/10/2011
PT089442,PENDLETON,RCF, 03/16/2009,ASHLEY MANOR - ATHENS, 11/18/2008
PT088834,PENDLETON,RCF, 02/02/2009,ASHLEY MANOR - ATHENS, 07/03/2008
PT076045,PENDLETON,RCF, 12/10/2007,ASHLEY MANOR - ATHENS, 08/17/2007
MS133183,MEDFORD,RCF, 06/18/2013,ASHLEY MANOR - BROOKHURST, 04/07/2013
MS103546,MEDFORD,RCF, 04/08/2010,ASHLEY MANOR - BROOKHURST, 02/14/2010
MS090574,MEDFORD,RCF, 05/01/2009,ASHLEY MANOR - BROOKHURST, 03/23/2009
BO153867,BEND,RCF, 12/29/2015,ASHLEY MANOR - CONNERS, 10/03/2015
RD152866,BEND,RCF, 10/20/2015,ASHLEY MANOR - CONNERS, 08/28/2015
BO151864,BEND,RCF, 11/02/2015,ASHLEY MANOR - CONNERS, 06/19/2015
BO146533,BEND,RCF, 06/11/2014,ASHLEY MANOR - CONNERS, 03/10/2014
RD118292,BEND,RCF, 11/30/2011,ASHLEY MANOR - CONNERS, 09/22/2011
RD117775A,BEND,RCF, 10/03/2011,ASHLEY MANOR - CONNERS, 07/11/2011
CO11034,BEND,RCF, 02/02/2011,ASHLEY MANOR - CONNERS, 01/27/2011
RD092244,BEND,RCF, 10/13/2009,ASHLEY MANOR - CONNERS, 08/08/2009
RD091281,BEND,RCF, 06/24/2009,ASHLEY MANOR - CONNERS, 05/01/2009
BO090688,BEND,RCF, 04/10/2009,ASHLEY MANOR - CONNERS, 01/11/2009
RD091413,BEND,RCF, 07/06/2009,ASHLEY MANOR - CONNERS, 05/16/2008
BO062783B,BEND,RCF, 11/30/2006,ASHLEY MANOR - CONNERS, 09/21/2006
GP151485A,GRANTS PASS,RCF, 12/18/2015,ASHLEY MANOR - HEIDI LANE, 06/05/2015
GP151485A,GRANTS PASS,RCF, 12/18/2015,ASHLEY MANOR - HEIDI LANE, 06/05/2015
GP151485B,GRANTS PASS,RCF, 12/18/2015,ASHLEY MANOR - HEIDI LANE, 06/05/2015
GP151485B,GRANTS PASS,RCF, 12/18/2015,ASHLEY MANOR - HEIDI LANE, 06/05/2015
GP151485C,GRANTS PASS,RCF, 12/18/2015,ASHLEY MANOR - HEIDI LANE, 06/05/2015
GP151485C,GRANTS PASS,RCF, 12/18/2015,ASHLEY MANOR - HEIDI LANE, 06/05/2015
GP147124,GRANTS PASS,RCF, 08/27/2014,ASHLEY MANOR - HEIDI LANE, 05/07/2014
GP133413,GRANTS PASS,RCF, 10/08/2013,ASHLEY MANOR - HEIDI LANE, 06/04/2013
KF164185,KLAMATH FALLS,RCF, 04/20/2016,ASHLEY MANOR - HOMEDALE, 01/05/2016
KF152932,KLAMATH FALLS,RCF, 01/15/2016,ASHLEY MANOR - HOMEDALE, 09/25/2015
KF153100,KLAMATH FALLS,RCF, 01/15/2016,ASHLEY MANOR - HOMEDALE, 09/25/2015
KF152971,KLAMATH FALLS,RCF, 12/18/2015,ASHLEY MANOR - HOMEDALE, 09/23/2015
KF152190,KLAMATH FALLS,RCF, 10/27/2015,ASHLEY MANOR - HOMEDALE, 07/23/2015
KF151753,KLAMATH FALLS,RCF, 09/18/2015,ASHLEY MANOR - HOMEDALE, 06/26/2015
KF152222,KLAMATH FALLS,RCF, 10/26/2015,ASHLEY MANOR - HOMEDALE, 06/25/2015
KF151375,KLAMATH FALLS,RCF, 06/26/2015,ASHLEY MANOR - HOMEDALE, 05/23/2015
KF150280,KLAMATH FALLS,RCF, 05/19/2015,ASHLEY MANOR - HOMEDALE, 02/15/2015
