Facility ID,FAC_CCMUNumber,FACID,FAC_Type,FAC_Capacity,Facility Name,Facility Address,"City, State, Zip",Other Service,County,Owner,Operator
385049,385049,385049,NF,90,Columbia Basin Care Facility,1015 Webber Rd,"The Dalles, OR 97058",,Wasco               ,"Wasco County Nursing Care, Inc.","Aidan Health Services, Inc."
385053,385053,385053,NF,92,Avamere Rehabilitation of Eugene,2360 Chambers St,"Eugene, OR 97405",,Lane                ,"Eugene Rehabilitation, LLC.","Eugene Rehabilitation, LLC."
385055,385055,385055,NF,64,Prestige Care and Rehabilitation of Reedwood,3540 SE Francis St,"Portland, OR 97202",,Multnomah           ,Care Center (Reedwood) Inc.,Prestige Care Inc.
385064,385064,385064,NF,102,Regency Care of Rogue Valley,1710 NE Fairview Ave,"Grants Pass, OR 97526",,Josephine           ,"BD Grants Pass I, LLC","Regency Pacific Management, LLC"
385068,385068,385068,NF,106,Village Health Care,3955 SE 182nd Ave,"Gresham, OR 97030",,Multnomah           ,"Village Health Care I, LLC","Village Health Care I, LLC"
385072,385072,385072,NF,135,Corvallis Manor Nursing & Rehabilitation Center,160 NE Conifer Blvd,"Corvallis, OR 97330",,Benton              ,"MCH Enterprises, Inc.","Pinnacle Healthcare Management, Inc."
385077,385077,385077,NF,136,Marquis Springfield,1333 N First,"Springfield, OR 97477",,Lane                ,"Marquis Companies I, Inc.","Marquis Companies I, Inc."
385091,385091,385091,NF,87,Hearthstone Nursing and Rehabilitation Center,2901 E Barnett Rd,"Medford, OR 97504",,Jackson             ,"Hearthstone Operator, LLC","Pinnacle Healthcare Management, Inc."
385104,385104,385104,NF,100,Hood River Care Center,729 Henderson Rd,"Hood River, OR 97031","MC, ACU 19, ECU 11",Hood River          ,"Care Center (Hood River) Inc.,","Prestige Care, Inc."
385107,385107,385107,NF,67,Timberview Care Center,1023 6th Avenue Southwest,"Albany, OR 97321",,Linn                ,"PCI Care Venture I, Inc.","Prestige Care, Inc."
385112,385112,385112,NF,180,West Hills Health & Rehabilitation Center,5701 SW Multnomah Blvd,"Portland, OR 97219",,Multnomah           ,West Hills Convalescent Center Limited Partnership,West Hills Convalescent Center Limited Partnership
385115,385115,385115,NF,47,Lakeview Gardens LLC,700 South J,"Lakeview, OR 97630",,Lake                ,"Lakeview Gardens, LLC","Lakeview Gardens, LLC"
385117,385117,385117,NF,80,French Prairie Nursing and Rehabilitation Center,601 Evergreen Rd,"Woodburn, OR 97071",,Marion              ,"3C2MD, Inc.","Pinnacle Healthcare Management, Inc."
385120,385120,385120,NF,121,Valley West Health Care Center,2300 Warren St,"Eugene, OR 97405",,Lane                ,"Life Care Centers Of America, Inc.","Life Care Centers Of America, Inc."
385121,385121,385121,NF,100,Friendship Health Center,3320 SE Holgate Blvd,"Portland, OR 97202",,Multnomah           ,"Friendship Health Center, Inc.","Friendship Health Center, Inc."
385125,385125,385125,NF,95,Avamere Rehabilitation of Oregon City,1400 Division St,"Oregon City, OR 97045",,Clackamas           ,"Mountain View Rehab, LLC","Mountain View Rehab, LLC"
385126,385126,385126,NF,117,Avamere at Three Fountains,835 Crater Lake Ave,"Medford, OR 97504","RCF 20, ALF 85",Jackson             ,"Waterford Operations, LLC","Waterford Operations, LLC"
385132,385132,385132,NF,148,Avamere Rehabilitation of King City,16485 SW Pacific Hwy,"Tigard, OR 97224",,Washington          ,"King City Rehab, LLC","King City Rehab, LLC"
385133,385133,385133,NF,82,Good Samaritan Society - Fairlawn Village,3457 NE Division,"Gresham, OR 97030",,Multnomah           ,Evangelical Lutheran Good Sam. Society,Evangelical Lutheran Good Sam. Society
385136,385136,385136,NF,100,Glisan Care Center,9750 NE Glisan St,"Portland, OR 97220",,Multnomah           ,Care Center (Glisan) Inc.,"Prestige Care, Inc."
385137,385137,385137,NF,95,Marquis Plum Ridge,1401 Bryant Williams Dr,"Klamath Falls, OR 97601",,Klamath             ,"Marquis Companies I, Inc.","Marquis Companies I, Inc."
385138,385138,385138,NF,74,Pilot Butte Rehabilitation Center,1876 NE Hwy 20,"Bend, OR 97701",,Deschutes           ,"BD Bend II, LLC","Regency Pacific Management, LLC"
385141,385141,385141,NF,120,Marquis Mt Tabor,6040 SE Belmont,"Portland, OR 97215",,Multnomah           ,"Marquis Companies I, Inc.","Marquis Companies I, Inc."
385142,385142,385142,NF,72,Regency Florence,1951 E 21St Street,"Florence, OR 97439",,Lane                ,"Regency Florence, LLC","Regency Pacific Management, LLC"
385143,385143,385143,NF,118,Umpqua Valley Nursing & Rehabilitation Center,525 W Umpqua St,"Roseburg, OR 97470",,Douglas             ,"Umpqua Valley Nursing & Rehabilitation Center, LLC","Pinnacle Healthcare Management, Inc."
385144,385144,385144,NF,71,Clatsop Care Center,646 16th St,"Astoria, OR 97103",,Clatsop             ,Clatsop Care Center Health District,Clatsop Care Center Health District
385145,385145,385145,NF,88,Robison Jewish Health Center,6125 SW Boundary,"Portland, OR 97221","MC 159, RCF 36, ACU 17",Multnomah           ,Robison Jewish Home,Robison Jewish Home
385147,385147,385147,NF,87,Good Samaritan Society - Eugene Village,3500 Hilyard St,"Eugene, OR 97405",,Lane                ,The Evangelical Lutheran Good Samaritan,The Evangelical Lutheran Good Samaritan
385148,385148,385148,NF,145,Royale Gardens Health & Rehabilitation Center,2075 NW Highland Ave,"Grants Pass, OR 97526",,Josephine           ,"RGO, LLC","Pinnacle Healthcare Management, Inc."
385149,385149,385149,NF,119,Highland House Nursing & Rehabilitation Center,2201 NW Highland Ave,"Grants Pass, OR 97526",,Josephine           ,Highland House Inc.,"Pinnacle Healthcare Management, Inc."
385150,385150,385150,NF,92,Molalla Manor Care Center,301 Ridings Ave,"Molalla, OR 97038","MC, ACU 14",Clackamas           ,Care Center (Molalla) Inc.,"Prestige Care, Inc."
385151,385151,385151,NF,121,Rose Haven Nursing Center,740 NW Hill Place,"Roseburg, OR 97471",,Douglas             ,"Fisher Care, Inc.","Pinnacle Healthcare Management, Inc."
385152,385152,385152,NF,80,Coast Fork Nursing Center,515 Grant St.,"Cottage Grove, OR 97424",,Lane                ,"Coast Fork Nursing Center, Inc.","Prestige Care, Inc."
385155,385155,385155,NF,114,Forest Grove Rehabilitation and Care Center,3900 Pacific Ave,"Forest Grove, OR 97116",ECU 10,Washington          ,"PCI Care Venture I, Inc.","Prestige Care, Inc."
385156,385156,385156,NF,110,Green Valley Rehabilitation Health Center,1735 Adkins St,"Eugene, OR 97401",,Lane                ,Green Valley L.L.C.,"Pinnacle Healthcare Management, Inc."
385157,385157,385157,NF,114,Life Care Center Of Coos Bay,2890 Ocean Boulevard,"Coos Bay, OR 97420",,Coos                ,"Life Care Centers Of America, Inc.","Life Care Centers Of America, Inc."
385161,385161,385161,NF,129,Milton Freewater Health and Rehabilitation Center,120 Elzora St,"Milton-Freewater, OR 97862",,Umatilla            ,"Evergreen Oregon Healthcare Orchards Rehabilitation, L.L.C.","EmpRes Healthcare Management, LLC"
385162,385162,385162,NF,52,Avamere Rehabilitation of Newport,835 SW 11th,"Newport, OR 97365",DayCare 10,Lincoln             ,"Newport Rehabilitation, LLC.","Newport Rehabilitation, LLC."
385164,385164,385164,NF,29,Aidan Senior Living at Reedsport,600 Ranch Rd,"Reedsport, OR 97467",,Douglas             ,"Aidan Senior Living at Reedsport, Inc","Aidan Senior Living at Reedsport, Inc"
385165,385165,385165,NF,59,Good Samaritan Society - Curry Village,1 Park Avenue,"Brookings, OR 97415",,Curry               ,The Evangelical Lutheran Good Samaritan,The Evangelical Lutheran Good Samaritan
385166,385166,385166,NF,165,Maryville Nursing Home,14645 SW Farmington Rd,"Beaverton, OR 97007","MC, ACU 20",Washington          ,Sisters of St. Mary of Oregon Maryville Corp.,Sisters of St. Mary of Oregon Maryville Corp.
385167,385167,385167,NF,110,South Hills Rehabilitation Center,1166 East 28th Ave,"Eugene, OR 97403",PED 10,Lane                ,"Garber Enterprises, Inc.","Pinnacle Healthcare Management, Inc."
385168,385168,385168,NF,84,Avamere Rehabilitation of Lebanon,350 S 8th St,"Lebanon, OR 97355",,Linn                ,"Lebanon Care Center, LLC","Lebanon Care Center, LLC"
385171,385171,385171,NF,110,Life Care Center Of McMinnville,1309 NE 27th St,"McMinnville, OR 97128",,Yamhill             ,"McMinnville Medical Investors , LLC ","Life Care Centers Of America, Inc."
385172,385172,385172,NF,83,The Dalles Health and Rehabilitation Center,1023 W 25th,"The Dalles, OR 97058",,Wasco               ,"Evergreen Oregon Healthcare Valley Vista, L.L.C.","EmpRes Healthcare Management, LLC"
385180,385180,385180,NF,54,Marquis Newberg,441 Werth Blvd.,"Newberg, OR 97132",,Yamhill             ,"Marquis Companies I, Inc.","Marquis Companies I, Inc."
385181,385181,385181,NF,20,"East Cascade Retirement Community, LLC",175 NE 16th St.,"Madras, OR 97741",,Jefferson           ,"East Cascade Retirement Community, LLC","Senior Housing Managers, LLC"
385182,385182,385182,NF,76,Creswell Health and Rehabilitation Center,735 South 2nd St,"Creswell, OR 97426",,Lane                ,Care Center (Laneco) Inc.,Prestige Care Inc.
385183,385183,385183,NF,80,Marquis Centennial Post Acute Rehab,725 SE 202nd Ave,"Portland, OR 97233","MC, ACU 22",Multnomah           ,"Marquis Companies II, Inc.","Marquis Companies I, Inc."
385185,385185,385185,NF,119,Avamere Riverpark of Eugene,425 Alexander Loop,"Eugene, OR 97401",,Lane                ,"Riverpark Operations, LLC","Riverpark Operations, LLC"
385187,385187,385187,NF,105,Cascade Terrace Nursing Center,5601 SE 122nd,"Portland, OR 97236",,Multnomah           ,Care Center (Cascade Terrace) Inc.,"Prestige Care, Inc."
385188,385188,385188,NF,80,Independence Health and Rehabilitation Center,1525 Monmouth St,"Independence, OR 97351",,Polk                ,Evergreen Oregon Healthcare Independence L.L.C.,"EmpRes Healthcare Management, LLC"
385189,385189,385189,NF,88,Avamere Transitional Care at Sunnyside,4515 Sunnyside Rd SE,"Salem, OR 97302",,Marion              ,"Sunnyside Operations, LLC","Sunnyside Operations, LLC"
385190,385190,385190,NF,78,Prestige Post-Acute and Rehabilitation Center-Gresham,405 NE 5th St,"Gresham, OR 97030",,Multnomah           ,Pacific Regency Care LLC,Prestige Care Inc.
385195,385195,385195,NF,104,Avamere Rehabilitation of Beaverton,11850 SW Allen Blvd,"Beaverton, OR 97005",,Washington          ,"Beaverton Rehab & Specialty Care, LLC","Beaverton Rehab & Specialty Care, LLC"
385197,385197,385197,NF,87,Linda Vista Nursing & Rehab Center,135 Maple St,"Ashland, OR 97520",,Jackson             ,Care Center (Linda Vista) Inc.,"Prestige Care, Inc."
385199,385199,385199,NF,84,Chehalem Health & Rehab Center,1900 E Fulton St,"Newberg, OR 97132",ACU 20,Yamhill             ,Care Center (Chehalem) Inc.,"Prestige Care, Inc."
385200,385200,385200,NF,6,Willamette View Health Center,13145 SE River Rd,"Milwaukie, OR 97222","ALF 45, RCF 21",Clackamas           ,"Willamette View, Inc. dba","Willamette View, Inc."
385201,385201,385201,NF,59,Willowbrook Terrace,707 SW 37th Street,"Pendleton, OR 97801",,Umatilla            ,"Care Center (Willowbrook), Inc.","Prestige Care, Inc."
385203,385203,385203,NF,87,Avamere Rehabilitation of Clackamas,220 East Hereford,"Gladstone, OR 97027",,Clackamas           ,"Clackamas Rehabilitation , LLC.","Clackamas Rehabilitation, LLC."
385204,385204,385204,NF,63,Marquis Forest Grove Post Acute Rehab,3300 19th Avenue,"Forest Grove, OR 97116",,Washington          ,"Marquis Companies II, Inc.","Marquis Companies I, Inc."
385206,385206,385206,NF,95,Mennonite Home,5353 Columbus Street Southeast,"Albany, OR 97322","ALF 137, RCF 28",Linn                ,"Mennonite Home Of Albany, Inc.","Mennonite Home Of Albany, Inc."
385207,385207,385207,NF,121,Dallas Retirement Village Health Center,377 NW Jasper Street,"Dallas, OR 97338","RCF 20,ALF 78, ACU 14",Polk                ,"Dallas Health Care Center, LLC",Life Care Services LLC
385208,385208,385208,NF,70,Marquis Piedmont Post Acute Rehab,319 NE Russet,"Portland, OR 97211",ALF 80,Multnomah           ,"Marquis Companies II, Inc.","Marquis Companies I, Inc."
385211,385211,385211,NF,76,LaGrande Post Acute Rehab,91 Aries Lane,"La Grande, OR 97850","ECU 9, DayCare 10",Union               ,"Evergreen Oregon Healthcare Mt Vista, L.L.C.","EmpRes Healthcare Management, LLC"
385214,385214,385214,NF,54,Marquis Mill Park,1475 SE 100th Avenue,"Portland, OR 97216",,Multnomah           ,"Marquis Companies I, Inc.","Marquis Companies I, Inc."
385217,385217,385217,NF,78,EmpRes Hillsboro Health and Rehabilitation Center,1778 NE Cornell Rd,"Hillsboro, OR 97124",,Washington          ,"Evergreen Oregon Healthcare Tualatin, L.L.C.","EmpRes Healthcare Management, LLC"
385218,385218,385218,NF,73,Marquis Vermont Hills,6010 SW Shattuck Rd,"Portland, OR 97221",,Multnomah           ,"Marquis Companies I, Inc.","Marquis Companies I, Inc."
385219,385219,385219,NF,93,Care Center East Health & Specialty Care Center,11325 NE Weidler,"Portland, OR 97220",,Multnomah           ,FMG Northeast Weidler Street Oregon LLC,FMG Northeast Weidler Street Oregon LLC
385220,385220,385220,NF,74,Regency Albany,805 19th St. SE,"Albany, OR 97322",,Linn                ,"Regency Albany, LLC","Regency Pacific Management, LLC"
385221,385221,385221,NF,102,Marquis Oregon City Post Acute Rehab,1680 Molalla Avenue,"Oregon City, OR 97045","MC, ACU 20",Clackamas           ,"Marquis Companies II, Inc.","Marquis Companies I, Inc."
385222,385222,385222,NF,92,Meadow Park Health & Specialty Care Center,75 Shore Drive,"St Helens, OR 97051",,Columbia            ,"FMG Shore Drive Oregon, LLC","FMG Shore Drive Oregon, LLC"
385224,385224,385224,NF,100,Windsor Health and Rehabilitation Center,820 Cottage St NE,"Salem, OR 97301",,Marion              ,Evergreen Oregon Healthcare Salem L.L.C.,"EmpRes Healthcare Management, LLC"
385225,385225,385225,NF,96,Prestige Post-Acute and Rehabilitation Center - McMinnville,421 S Evans St,"McMinnville, OR 97128",,Yamhill             ,Care Center (McMinnville) Inc.,"Prestige Care, Inc."
385228,385228,385228,NF,105,Portland Health and Rehabilitation Center,12441 SE Stark St,"Portland, OR 97233",,Multnomah           ,"Evergreen Oregon Healthcare Portland, L.L.C.","EmpRes Healthcare Management, LLC"
385229,385229,385229,NF,53,Avamere Rehabilitation of Junction City,530 Birch St,"Junction City, OR 97448",DayCare 10,Lane                ,"Junction City Rehabilitation, LLC.","Junction City Rehabilitation, LLC."
385230,385230,385230,NF,50,Regency Redmond Rehabilitation and Nursing Center,3025 SW Reservoir,"Redmond, OR 97756",,Deschutes           ,"BD Redmond IV, LLC","Regency Pacific Management, LLC"
385232,385232,385232,NF,44,Laurel Hill Nursing Center,859 NE Sixth St,"Grants Pass, OR 97526",,Josephine           ,"BD Grants Pass II, LLC","Regency Pacific Management, LLC"
385233,385233,385233,NF,69,Avamere Court at Keizer,5210 River Rd N,"Keizer, OR 97303",RCF 63,Marion              ,"Keizer Campus Operations, LLC","Keizer Campus Operations, LLC"
385234,385234,385234,NF,80,Salem Transitional Care,3445 Boone Road SE,"Salem, OR 97317",,Marion              ,"South Salem Rehabilitation, LLC.","South Salem Rehabilitation, LLC."
385236,385236,385236,NF,51,Town Center Village Rehab,8607 SE Causey Ave,"Portland, OR 97086",,Clackamas           ,"TVC Employees, LLC","Generations, LLC"
385237,385237,385237,NF,63,Fernhill Estates,5737 NE 37th,"Portland, OR 97211",,Multnomah           ,"Fernhill Estates, LLC","Dakavia Management, Corp."
385239,385239,385239,NF,92,Avamere Rehabilitation of Coos Bay,2625 Koos Bay Blvd,"Coos Bay, OR 97420",,Coos                ,"Coos Bay Rehabilitation, LLC.","Coos Bay Rehabilitation, LLC."
385240,385240,385240,NF,214,Marian Estates,390 Church St,"Sublimity, OR 97385","MC, ACU 51",Marion              ,"Ernmaur, Inc.",Marian Estates Support Services
385241,385241,385241,NF,49,Sherwood Park Nursing & Rehab Center,4062 Arleta Ave NE,"Keizer, OR 97303",,Marion              ,"Sherwood Park Nursing Home, Inc.","Sherwood Park Nursing Home, Inc."
385242,385242,385242,NF,41,Avamere Twin Oaks of Sweet Home,950 Nandina Street,"Sweet Home, OR 97386",,Linn                ,"Twin Oaks Rehab, LLC.","Twin Oaks Rehab, LLC."
385244,385244,385244,NF,50,Nehalem Valley Care Center,"PO Box 6, 280 Rowe St","Wheeler, OR 97147",,Tillamook           ,"Wheeler Care Center, LLC","Aidan Health Services, Inc."
385245,385245,385245,NF,53,Oregon City Health Care Center,148 Hood St,"Oregon City, OR 97045",,Clackamas           ,Care Center (Oregon City) Inc.,"Prestige Care, Inc."
385250,385250,385250,NF,68,Rogue Valley Manor Health Center,1200 Mira Mar Ave,"Medford, OR 97504",RCF 25,Jackson             ,Rogue Valley Manor,"Pacific Retirement Services, Inc."
385251,385251,385251,NF,87,Avamere Rehabilitation of Hillsboro,650 SE Oak St,"Hillsboro, OR 97123",,Washington          ,"Peckham-Miller, Inc. dba","Peckham-Miller, Inc."
385253,385253,385253,NF,49,Bend Transitional Care,900 NE 27th Street,"Bend, OR 97701",,Deschutes           ,"Ohana Harmony House, LLC","Ohana Harmony House, LLC"
385254,385254,38E028,NF,35,Myrtle Point Care Center, 637 Ash St,"Myrtle Point, OR 97458",RCF 16,Coos                ,"Care Centers Management, Inc.","Dakavia Management, Corp."
385257,385257,38L938,NF,151,Oregon Veterans' Home,700 Veterans Drive,"The Dalles, OR 97058","MC, ACU 25",Wasco               ,Oregon Dept Of Veterans Affairs,Veterans Care Centers of Oregon
385258,385258,38E142,NF,55,Park Forest Care Center,8643 NE Beech St,"Portland, OR 97220",,Multnomah           ,Care Center ( Park Forest) Inc.,"Prestige Care, Inc."
385259,385259,38L277,NF,51,Holladay Park Plaza,1300 NE 16th Ave,"Portland, OR 97232",,Multnomah           ,"Holladay Park Plaza, Inc.","Pacific Retirement Services, Inc."
385260,385260,38E004,NF,50,Marquis Hope Village,1577 S Ivy,"Canby, OR 97013",ALF 84,Clackamas           ,"Marquis Companies I, Inc.","Marquis Companies I, Inc."
385261,385261,38E030,NF,44,Regency Prineville Rehabilitation and Nursing Center,950 NE Elm Street,"Prineville, OR 97754",,Crook               ,"BD Prineville II, LLC","Regency Pacific Management, LLC"
385262,385262,38E082,NF,52,Marquis Silver Garden,115 S James St,"Silverton, OR 97381",,Marion              ,"Marquis Companies I, Inc.","Marquis Companies I, Inc."
385263,385263,385263,NF,105,Regency Hermiston Nursing & Rehabilitation Center,970 W Juniper Ave,"Hermiston, OR 97838",,Umatilla            ,"Regency Hermiston Nursing & Rehabilitation Center, LLC","Regency Pacific Management, LLC"
385264,385264,38A025,NF,53,"Trinity Mission Health & Rehab of Portland, LLC",10435 SE Cora,"Portland, OR 97266",,Multnomah           ,"Trinity Mission Health & Rehab of Portland, LLC","Trinity Mission Health & Rehab of Portland, LLC"
385265,385265,38A029,NF,5,Mary's Woods at Marylhurst,17360 Holy Names Drive,"Lake Oswego, OR 97034","ALF 72, DayCare 2",Clackamas           ,"Mary's Woods at Marylhurst, Inc.","Mary's Woods at Marylhurst, Inc."
385266,385266,385266,NF,50,Marquis Wilsonville Post Acute Rehab,30900 SW Parkway Avenue,"Wilsonville, OR 97070",ALF 72,Clackamas           ,"Marquis Companies II, Inc.","Marquis Companies I, Inc."
385268,385268,38E119,NF,59,Gateway Care & Retirement Center,39 NE 102nd,"Portland, OR 97220",,Multnomah           ,"Sapphire at Gateway, LCC","Sapphire at Gateway, LLC"
385270,385270,38E150,NF,96,Prestige Post-Acute and Rehabilitation Center - Milwaukie,12045 SE Stanley Ave.,"Milwaukie, OR 97222",,Clackamas           ,"Care Center (Milwaukie), Inc.","Prestige Care, Inc."
385271,385271,38L502,NF,45,"Pearl at Kruse Way, The",4550 Carman Drive,"Lake Oswego, OR 97035",RCF 47,Clackamas           ,"Avamere Lake Oswego Operations Investors, LLC","Avamere Lake Oswego Operations Investors, LLC"
385272,385272,38L600,NF,112,Pacific Health and Rehabilitation,14145 SW 105th Ave.,"Tigard, OR 97224",,Washington          ,"Pacific Gardens Estates, LLC","Dakavia Management, Corp."
385273,385273,38E195,NF,33,Pioneer Nursing Home,1060 D Street W,"Vale, OR 97918",ALF 30,Malheur             ,Pioneer Nursing Home Health District,Pioneer Nursing Home Health District
385275,385275,38E113,NF,51,Sheridan Care Center,411 SE Sheridan Road,"Sheridan, OR 97378",,Yamhill             ,"Sheridan Care Center, LLC ","Dakavia Management, Corp."
38A001,38A001,38A001,NF,58,Providence Child Center,830 NE 47th Ave,"Portland, OR 97213",PED 58,Multnomah           ,Providence Health & Services - Oregon,Providence Health & Services - Oregon
38A026,38A026,38A026,NF,39,Marquis Autumn Hills Memory Care,6630 SW  Beav-Hillsdale Hwy,"Portland, OR 97225","RCF 22, ACU 20",Washington          ,"Marquis Companies II, Inc.","Marquis Companies II, Inc."
38E018,38E018,38E018,NF,71,Rose Linn Care Center,2330 Debok,"West Linn, OR 97068",RCF 40,Clackamas           ,"West Linn Care Center Operating Company, LLC","Benicia Senior Living, LLC"
38E024,38E024,38E024,NF,40,Columbia Care Center,33910 E Columbia Ave PO Box 1068,"Scappoose, OR 97056",,Columbia            ,EEA Company,EEA Company
38E032,38E032,38E032,NF,46,Regency Care of Central Oregon,119 SE Wilson Ave,"Bend, OR 97702",,Deschutes           ,"BD Bend III, LLC","Regency Pacific Management, LLC"
38E040,38E040,38E040,NF,40,Blue Mountain Care Center,112 E Fifth St-PO Box 305,"Prairie City, OR 97869",DayCare 6,Grant               ,Blue Mountain Hospital District,Blue Mountain Hospital District
38E075,38E075,38E075,NF,76,Tierra Rose Care Center,4254 Weathers St NE,"Salem, OR 97301",RCF 50,Marion              ,"CML, Inc.","CML, Inc."
38E126,38E126,38E126,NF,114,Healthcare at Foster Creek,6003 SE 136th,"Portland, OR 97236",ECU 14,Multnomah           ,"St. Jude Operating Company, LLC","Benicia Senior Living, LLC"
38E157,38E157,38E157,NF,30,Rose City Nursing Home,34 NE 20th,"Portland, OR 97232",,Multnomah           ,"Geistlinger Enterprises, Inc.","Geistlinger Enterprises, Inc."
38E173,38E173,38E173,NF,40,Cornerstone Care Option,12640 SE Bush,"Portland, OR 97236",RCF 16,Multnomah           ,"Cornerstone Care Option, Inc","Cornerstone Care Option, Inc."
38E174,38E174,38E174,NF,60,Village Manor,2060 NE 238th Drive,"Wood Village, OR 97060",,Multnomah           ,"V.M.C., Inc.","V.M.C., Inc."
38E188,38E188,38E188,NF,80,Gracelen Terrace Long Term Care Facility,10948 SE Boise St,"Portland, OR 97266",,Multnomah           ,"H & L Care Centers, Inc.","H & L Care Centers, Inc."
38E196,38E196,38E196,NF,41,Lawrence Convalescent Center,812 SE 48th Ave,"Portland, OR 97215",,Multnomah           ,Charles Lawrence,Charles Lawrence
38L300,38L300,,NF,54,Marquis Tualatin Post Acute Rehab,19945 SW Boones Ferry,"Tualatin, Oregon, OR 97062",ALF,Washington          ,"Marquis Companies II, Inc.","Marquis Companies I, Inc."
38L400,38L400,385274,NF,44,Mirabella Portland,3550 SW Bond Ave.,"Portland, OR 97239","MC, ACU 17",Multnomah           ,Mirabella at South Waterfront,"Pacific Retirement Services, Inc."
38L501,38L501,385269,NF,20,Village at Hillside,440 NW Hillside Parkway,"McMinnville, OR 97128","ALF 60, RCF 20",Yamhill             ,"EmeriCare, Inc","EmeriCare, Inc."
38L503,38L503,38L503,NF,154,Lebanon Veterans Home,600 North 5th Street,"Lebanon, OR 97355",ACU 42,Linn                ,Oregon Dept Of Veterans Affairs,Veterans Care Centers of Oregon
38L544,38L544,38L544,NF,45,Rose Villa Senior Living,13505 SE River Rd,"Portland, OR 97222",,Clackamas           ,"Rose Villa, Inc.","Rose Villa, Inc."
38L756,38L756,38L756,NF,32,Cascade Manor,65 West 30th,"Eugene, OR 97405",,Lane                ,"Cascade Manor, Inc.","Pacific Retirement Services, Inc."
50A028,50A028,50A028,RCF,70,Farmington Square - Beaverton,14420 SW Farmington Rd,"Beaverton, OR 97005","MCC, ACU 44",(503) 627-0262,"RSL Beaverton, LLC","Radiant Senior Living, Inc."
50A235,50A235,50A235,RCF,20,Avamere at Waterford,760 Spring Street,"Medford, OR 97504",,(541) 773-7719,"Waterford Operations, LLC","Waterford Operations, LLC"
50A236,50A236,50A236,RCF,60,Brookdale Troutdale,1201 SW Cherry Park Rd.,"Troutdale, OR 97060","MCC, ACU 60",(503) 465-8204,"Brookdale Senior Living Communities, Inc.","Brookdale Senior Living Communities, Inc."
50A239,50A239,50A239,RCF,48,"Regent Court, a Blue Harbor Senior Living Community",400 NW Elks Drive,"Corvallis, OR 97330","MCC, ACU 48",(541) 738-6543,Regent Court Management LLC,Regent Court Management LLC
50A244,50A244,50A244,RCF,22,Marquis Autumn Hills Residential Memory Care,6630 SW Beaverton-Hillsdale Hwy.,"Portland, OR 97225","MCC, ACU 22",(503) 292-2359,"Marquis Companies II, Inc.","Marquis Companies I, Inc."
50A253,50A253,50A253,RCF,58,Bridgecreek Memory Care Community,1401 12th St,"Lebanon, OR 97355","MCC, ACU 58",(541) 259-2012,"Bridgecreek Investors, LLC","Ageia Health Services, LLC"
50A262,50A262,50A262,RCF,24,Providence Brookside Memory Care,1550 Brookside Dr.,"Hood River, OR 97031","MCC, ACU 24",(541) 387-2728,Providence Health & Services - Oregon,Providence Health System - Oregon
50A263,50A263,50A263,RCF,59,Brookdale Bend,1099 NE Watt Way,"Bend, OR 97701","MCC, ACU 59",(541) 385-5232,"Brookdale Senior Living Communities, Inc.","Brookdale Senior Living Communities, Inc."
50M006,50M006,50M006,RCF,10,"Autumn Garden Home RCF, Inc.",6215 SE Hazel Ave.,"Portland, OR 97206",,(503) 771-5305,"Autumn Garden Home RCF, LLC","Autumn Garden Home RCF, LLC"
